,0,1,2,3,4,5,6,7
0,0.0,vhigh,vhigh,2.0,2.0,small,low,unacc
1,1.0,vhigh,vhigh,2.0,2.0,small,med,unacc
2,2.0,vhigh,vhigh,2.0,2.0,small,high,unacc
3,3.0,vhigh,vhigh,2.0,2.0,med,low,unacc
4,4.0,vhigh,vhigh,2.0,2.0,med,med,unacc
5,5.0,vhigh,vhigh,2.0,2.0,med,high,unacc
6,6.0,vhigh,vhigh,2.0,2.0,big,low,unacc
7,7.0,vhigh,vhigh,2.0,2.0,big,med,unacc
8,8.0,vhigh,vhigh,2.0,2.0,big,high,unacc
9,9.0,vhigh,vhigh,2.0,4.0,small,low,unacc
10,10.0,vhigh,vhigh,2.0,4.0,small,med,unacc
11,11.0,vhigh,vhigh,2.0,4.0,small,high,unacc
12,12.0,vhigh,vhigh,2.0,4.0,med,low,unacc
13,13.0,vhigh,vhigh,2.0,4.0,med,med,unacc
14,14.0,vhigh,vhigh,2.0,4.0,med,high,unacc
15,15.0,vhigh,vhigh,2.0,4.0,big,low,unacc
16,16.0,vhigh,vhigh,2.0,4.0,big,med,unacc
17,17.0,vhigh,vhigh,2.0,4.0,big,high,unacc
18,18.0,vhigh,vhigh,2.0,more,small,low,unacc
19,19.0,vhigh,vhigh,2.0,more,small,med,unacc
20,20.0,vhigh,vhigh,2.0,more,small,high,unacc
21,21.0,vhigh,vhigh,2.0,more,med,low,unacc
22,22.0,vhigh,vhigh,2.0,more,med,med,unacc
23,23.0,vhigh,vhigh,2.0,more,med,high,unacc
24,24.0,vhigh,vhigh,2.0,more,big,low,unacc
25,25.0,vhigh,vhigh,2.0,more,big,med,unacc
26,26.0,vhigh,vhigh,2.0,more,big,high,unacc
27,27.0,vhigh,vhigh,3.0,2.0,small,low,unacc
28,28.0,vhigh,vhigh,3.0,2.0,small,med,unacc
29,29.0,vhigh,vhigh,3.0,2.0,small,high,unacc
30,30.0,vhigh,vhigh,3.0,2.0,med,low,unacc
31,31.0,vhigh,vhigh,3.0,2.0,med,med,unacc
32,32.0,vhigh,vhigh,3.0,2.0,med,high,unacc
33,33.0,vhigh,vhigh,3.0,2.0,big,low,unacc
34,34.0,vhigh,vhigh,3.0,2.0,big,med,unacc
35,35.0,vhigh,vhigh,3.0,2.0,big,high,unacc
36,36.0,vhigh,vhigh,3.0,4.0,small,low,unacc
37,37.0,vhigh,vhigh,3.0,4.0,small,med,unacc
38,38.0,vhigh,vhigh,3.0,4.0,small,high,unacc
39,39.0,vhigh,vhigh,3.0,4.0,med,low,unacc
40,40.0,vhigh,vhigh,3.0,4.0,med,med,unacc
41,41.0,vhigh,vhigh,3.0,4.0,med,high,unacc
42,42.0,vhigh,vhigh,3.0,4.0,big,low,unacc
43,43.0,vhigh,vhigh,3.0,4.0,big,med,unacc
44,44.0,vhigh,vhigh,3.0,4.0,big,high,unacc
45,45.0,vhigh,vhigh,3.0,more,small,low,unacc
46,46.0,vhigh,vhigh,3.0,more,small,med,unacc
47,47.0,vhigh,vhigh,3.0,more,small,high,unacc
48,48.0,vhigh,vhigh,3.0,more,med,low,unacc
49,49.0,vhigh,vhigh,3.0,more,med,med,unacc
50,50.0,vhigh,vhigh,3.0,more,med,high,unacc
51,51.0,vhigh,vhigh,3.0,more,big,low,unacc
52,52.0,vhigh,vhigh,3.0,more,big,med,unacc
53,53.0,vhigh,vhigh,3.0,more,big,high,unacc
54,54.0,vhigh,vhigh,4.0,2.0,small,low,unacc
55,55.0,vhigh,vhigh,4.0,2.0,small,med,unacc
56,56.0,vhigh,vhigh,4.0,2.0,small,high,unacc
57,57.0,vhigh,vhigh,4.0,2.0,med,low,unacc
58,58.0,vhigh,vhigh,4.0,2.0,med,med,unacc
59,59.0,vhigh,vhigh,4.0,2.0,med,high,unacc
60,60.0,vhigh,vhigh,4.0,2.0,big,low,unacc
61,61.0,vhigh,vhigh,4.0,2.0,big,med,unacc
62,62.0,vhigh,vhigh,4.0,2.0,big,high,unacc
63,63.0,vhigh,vhigh,4.0,4.0,small,low,unacc
64,64.0,vhigh,vhigh,4.0,4.0,small,med,unacc
65,65.0,vhigh,vhigh,4.0,4.0,small,high,unacc
66,66.0,vhigh,vhigh,4.0,4.0,med,low,unacc
67,67.0,vhigh,vhigh,4.0,4.0,med,med,unacc
68,68.0,vhigh,vhigh,4.0,4.0,med,high,unacc
69,69.0,vhigh,vhigh,4.0,4.0,big,low,unacc
70,70.0,vhigh,vhigh,4.0,4.0,big,med,unacc
71,71.0,vhigh,vhigh,4.0,4.0,big,high,unacc
72,72.0,vhigh,vhigh,4.0,more,small,low,unacc
73,73.0,vhigh,vhigh,4.0,more,small,med,unacc
74,74.0,vhigh,vhigh,4.0,more,small,high,unacc
75,75.0,vhigh,vhigh,4.0,more,med,low,unacc
76,76.0,vhigh,vhigh,4.0,more,med,med,unacc
77,77.0,vhigh,vhigh,4.0,more,med,high,unacc
78,78.0,vhigh,vhigh,4.0,more,big,low,unacc
79,79.0,vhigh,vhigh,4.0,more,big,med,unacc
80,80.0,vhigh,vhigh,4.0,more,big,high,unacc
81,81.0,vhigh,vhigh,5-more,2.0,small,low,unacc
82,82.0,vhigh,vhigh,5-more,2.0,small,med,unacc
83,83.0,vhigh,vhigh,5-more,2.0,small,high,unacc
84,84.0,vhigh,vhigh,5-more,2.0,med,low,unacc
85,85.0,vhigh,vhigh,5-more,2.0,med,med,unacc
86,86.0,vhigh,vhigh,5-more,2.0,med,high,unacc
87,87.0,vhigh,vhigh,5-more,2.0,big,low,unacc
88,88.0,vhigh,vhigh,5-more,2.0,big,med,unacc
89,89.0,vhigh,vhigh,5-more,2.0,big,high,unacc
90,90.0,vhigh,vhigh,5-more,4.0,small,low,unacc
91,91.0,vhigh,vhigh,5-more,4.0,small,med,unacc
92,92.0,vhigh,vhigh,5-more,4.0,small,high,unacc
93,93.0,vhigh,vhigh,5-more,4.0,med,low,unacc
94,94.0,vhigh,vhigh,5-more,4.0,med,med,unacc
95,95.0,vhigh,vhigh,5-more,4.0,med,high,unacc
96,96.0,vhigh,vhigh,5-more,4.0,big,low,unacc
97,97.0,vhigh,vhigh,5-more,4.0,big,med,unacc
98,98.0,vhigh,vhigh,5-more,4.0,big,high,unacc
99,99.0,vhigh,vhigh,5-more,more,small,low,unacc
100,100.0,vhigh,vhigh,5-more,more,small,med,unacc
101,101.0,vhigh,vhigh,5-more,more,small,high,unacc
102,102.0,vhigh,vhigh,5-more,more,med,low,unacc
103,103.0,vhigh,vhigh,5-more,more,med,med,unacc
104,104.0,vhigh,vhigh,5-more,more,med,high,unacc
105,105.0,vhigh,vhigh,5-more,more,big,low,unacc
106,106.0,vhigh,vhigh,5-more,more,big,med,unacc
107,107.0,vhigh,vhigh,5-more,more,big,high,unacc
108,108.0,vhigh,high,2.0,2.0,small,low,unacc
109,109.0,vhigh,high,2.0,2.0,small,med,unacc
110,110.0,vhigh,high,2.0,2.0,small,high,unacc
111,111.0,vhigh,high,2.0,2.0,med,low,unacc
112,112.0,vhigh,high,2.0,2.0,med,med,unacc
113,113.0,vhigh,high,2.0,2.0,med,high,unacc
114,114.0,vhigh,high,2.0,2.0,big,low,unacc
115,115.0,vhigh,high,2.0,2.0,big,med,unacc
116,116.0,vhigh,high,2.0,2.0,big,high,unacc
117,117.0,vhigh,high,2.0,4.0,small,low,unacc
118,118.0,vhigh,high,2.0,4.0,small,med,unacc
119,119.0,vhigh,high,2.0,4.0,small,high,unacc
120,120.0,vhigh,high,2.0,4.0,med,low,unacc
121,121.0,vhigh,high,2.0,4.0,med,med,unacc
122,122.0,vhigh,high,2.0,4.0,med,high,unacc
123,123.0,vhigh,high,2.0,4.0,big,low,unacc
124,124.0,vhigh,high,2.0,4.0,big,med,unacc
125,125.0,vhigh,high,2.0,4.0,big,high,unacc
126,126.0,vhigh,high,2.0,more,small,low,unacc
127,127.0,vhigh,high,2.0,more,small,med,unacc
128,128.0,vhigh,high,2.0,more,small,high,unacc
129,129.0,vhigh,high,2.0,more,med,low,unacc
130,130.0,vhigh,high,2.0,more,med,med,unacc
131,131.0,vhigh,high,2.0,more,med,high,unacc
132,132.0,vhigh,high,2.0,more,big,low,unacc
133,133.0,vhigh,high,2.0,more,big,med,unacc
134,134.0,vhigh,high,2.0,more,big,high,unacc
135,135.0,vhigh,high,3.0,2.0,small,low,unacc
136,136.0,vhigh,high,3.0,2.0,small,med,unacc
137,137.0,vhigh,high,3.0,2.0,small,high,unacc
138,138.0,vhigh,high,3.0,2.0,med,low,unacc
139,139.0,vhigh,high,3.0,2.0,med,med,unacc
140,140.0,vhigh,high,3.0,2.0,med,high,unacc
141,141.0,vhigh,high,3.0,2.0,big,low,unacc
142,142.0,vhigh,high,3.0,2.0,big,med,unacc
143,143.0,vhigh,high,3.0,2.0,big,high,unacc
144,144.0,vhigh,high,3.0,4.0,small,low,unacc
145,145.0,vhigh,high,3.0,4.0,small,med,unacc
146,146.0,vhigh,high,3.0,4.0,small,high,unacc
147,147.0,vhigh,high,3.0,4.0,med,low,unacc
148,148.0,vhigh,high,3.0,4.0,med,med,unacc
149,149.0,vhigh,high,3.0,4.0,med,high,unacc
150,150.0,vhigh,high,3.0,4.0,big,low,unacc
151,151.0,vhigh,high,3.0,4.0,big,med,unacc
152,152.0,vhigh,high,3.0,4.0,big,high,unacc
153,153.0,vhigh,high,3.0,more,small,low,unacc
154,154.0,vhigh,high,3.0,more,small,med,unacc
155,155.0,vhigh,high,3.0,more,small,high,unacc
156,156.0,vhigh,high,3.0,more,med,low,unacc
157,157.0,vhigh,high,3.0,more,med,med,unacc
158,158.0,vhigh,high,3.0,more,med,high,unacc
159,159.0,vhigh,high,3.0,more,big,low,unacc
160,160.0,vhigh,high,3.0,more,big,med,unacc
161,161.0,vhigh,high,3.0,more,big,high,unacc
162,162.0,vhigh,high,4.0,2.0,small,low,unacc
163,163.0,vhigh,high,4.0,2.0,small,med,unacc
164,164.0,vhigh,high,4.0,2.0,small,high,unacc
165,165.0,vhigh,high,4.0,2.0,med,low,unacc
166,166.0,vhigh,high,4.0,2.0,med,med,unacc
167,167.0,vhigh,high,4.0,2.0,med,high,unacc
168,168.0,vhigh,high,4.0,2.0,big,low,unacc
169,169.0,vhigh,high,4.0,2.0,big,med,unacc
170,170.0,vhigh,high,4.0,2.0,big,high,unacc
171,171.0,vhigh,high,4.0,4.0,small,low,unacc
172,172.0,vhigh,high,4.0,4.0,small,med,unacc
173,173.0,vhigh,high,4.0,4.0,small,high,unacc
174,174.0,vhigh,high,4.0,4.0,med,low,unacc
175,175.0,vhigh,high,4.0,4.0,med,med,unacc
176,176.0,vhigh,high,4.0,4.0,med,high,unacc
177,177.0,vhigh,high,4.0,4.0,big,low,unacc
178,178.0,vhigh,high,4.0,4.0,big,med,unacc
179,179.0,vhigh,high,4.0,4.0,big,high,unacc
180,180.0,vhigh,high,4.0,more,small,low,unacc
181,181.0,vhigh,high,4.0,more,small,med,unacc
182,182.0,vhigh,high,4.0,more,small,high,unacc
183,183.0,vhigh,high,4.0,more,med,low,unacc
184,184.0,vhigh,high,4.0,more,med,med,unacc
185,185.0,vhigh,high,4.0,more,med,high,unacc
186,186.0,vhigh,high,4.0,more,big,low,unacc
187,187.0,vhigh,high,4.0,more,big,med,unacc
188,188.0,vhigh,high,4.0,more,big,high,unacc
189,189.0,vhigh,high,5-more,2.0,small,low,unacc
190,190.0,vhigh,high,5-more,2.0,small,med,unacc
191,191.0,vhigh,high,5-more,2.0,small,high,unacc
192,192.0,vhigh,high,5-more,2.0,med,low,unacc
193,193.0,vhigh,high,5-more,2.0,med,med,unacc
194,194.0,vhigh,high,5-more,2.0,med,high,unacc
195,195.0,vhigh,high,5-more,2.0,big,low,unacc
196,196.0,vhigh,high,5-more,2.0,big,med,unacc
197,197.0,vhigh,high,5-more,2.0,big,high,unacc
198,198.0,vhigh,high,5-more,4.0,small,low,unacc
199,199.0,vhigh,high,5-more,4.0,small,med,unacc
200,200.0,vhigh,high,5-more,4.0,small,high,unacc
201,201.0,vhigh,high,5-more,4.0,med,low,unacc
202,202.0,vhigh,high,5-more,4.0,med,med,unacc
